,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
207,740,202303,N,205302,31020.0,0,1,P,35,40,125000,35,6.99,R,N,FRM,WA,SF,98600,F23Q10003028,C,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,7
208,766,202303,Y,205302,40900.0,30,1,P,95,25,195000,95,7.125,R,N,FRM,CA,CO,95800,F23Q10003032,P,360,2,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
209,720,202303,N,205302,48424.0,0,1,P,80,36,660000,80,6.625,B,N,FRM,FL,CO,33400,F23Q10003061,P,360,1,Other sellers,FREEDOM MORTGAGE CORPORATION,,,9,,2,N,7
210,789,202303,Y,205302,35154.0,12,1,P,85,35,502000,85,6.375,C,N,FRM,NJ,SF,8800,F23Q10003066,P,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,N
211,642,202302,N,204301,16700.0,0,1,P,60,41,404000,60,6.125,R,N,FRM,SC,PU,29400,F23Q10003072,C,240,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,2,N,7
212,624,202303,Y,204302,33874.0,0,1,P,29,38,95000,29,6.625,R,N,FRM,PA,SF,19000,F23Q10003075,P,240,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,2,N,7
213,666,202302,N,204301,28140.0,0,1,I,31,41,100000,31,6.375,R,N,FRM,KS,SF,66200,F23Q10003078,C,240,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,2,N,7
214,731,202303,Y,205302,44100.0,0,1,P,80,36,316000,80,5.75,B,N,FRM,IL,SF,62600,F23Q10003091,P,360,1,"ROCKET MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
215,792,202303,Y,205302,16984.0,30,1,P,95,38,266000,95,6.5,R,N,FRM,IL,PU,60100,F23Q10003124,P,360,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,2,N,N
216,734,202303,N,205302,36500.0,0,1,P,80,31,375000,80,6.5,R,N,FRM,WA,SF,98500,F23Q10003128,P,360,2,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,1,N,7
217,730,202303,N,205302,33460.0,0,1,P,78,45,266000,78,6.5,R,N,FRM,MN,SF,55300,F23Q10003145,C,360,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,2,N,7
218,784,202303,Y,205302,35084.0,0,1,P,80,39,300000,80,7.25,R,N,FRM,NJ,PU,8800,F23Q10003147,P,360,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC",,,9,,1,N,7
219,697,202303,Y,205302,23420.0,30,1,P,95,43,397000,95,5.499,B,N,FRM,CA,SF,93600,F23Q10003208,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
220,795,202303,N,205302,36260.0,0,1,P,78,49,479000,78,6.625,B,N,FRM,UT,SF,84000,F23Q10003243,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
221,739,202303,N,205302,40140.0,30,1,P,95,42,385000,95,6.5,C,N,FRM,CA,SF,92300,F23Q10003248,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
222,723,202303,Y,205302,42020.0,0,1,P,80,44,596000,80,6.5,C,N,FRM,CA,SF,93400,F23Q10003253,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
223,815,202303,N,205302,22660.0,0,1,P,57,20,290000,57,5.941,B,N,FRM,CO,PU,80500,F23Q10003260,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
224,756,202303,N,205302,48140.0,30,1,P,95,35,303000,95,6.999,B,N,FRM,WI,SF,54400,F23Q10003266,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
225,780,202303,N,205302,39580.0,0,1,P,80,41,542000,80,5.999,B,N,FRM,NC,PU,27500,F23Q10003282,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
226,798,202303,N,205302,38060.0,25,1,P,90,27,294000,90,5.999,B,N,FRM,AZ,CO,85000,F23Q10003289,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,N
