,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
287,742,202303,N,205302,28420.0,0,1,P,80,50,374000,80,6.875,R,N,FRM,WA,SF,99300,F23Q10004427,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
288,724,202302,Y,205301,28940.0,12,1,P,85,47,204000,85,6.625,B,N,FRM,TN,SF,37700,F23Q10004428,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
289,761,202303,Y,205302,15764.0,0,1,P,80,42,480000,80,5.999,B,N,FRM,MA,SF,2100,F23Q10004450,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N,7
290,769,202303,Y,205302,35084.0,30,1,P,95,30,404000,95,5.947,B,N,FRM,NJ,PU,8800,F23Q10004476,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
291,762,202303,Y,205302,40900.0,0,1,P,80,38,384000,80,5.999,C,N,FRM,CA,SF,95600,F23Q10004499,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N,7
292,782,202303,Y,205302,,0,1,P,76,32,270000,76,6.999,B,N,FRM,NH,SF,3200,F23Q10004504,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,1,N,7
293,706,202303,N,205302,31084.0,30,1,P,95,44,474000,95,6.5,C,N,FRM,CA,SF,93500,F23Q10004537,P,360,2,U.S. BANK N.A.,"ROCKET MORTGAGE, LLC",,,9,,2,N,N
294,791,202303,N,204302,26420.0,0,1,P,47,18,110000,47,6.125,R,N,FRM,TX,PU,77500,F23Q10004560,C,240,1,Other sellers,Other servicers,,,9,,2,N,7
295,753,202303,N,205302,16984.0,30,1,P,95,36,233000,95,6.375,R,N,FRM,IL,SF,60400,F23Q10004592,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
296,784,202303,Y,205302,12054.0,0,1,P,80,26,650000,80,6.3,R,N,FRM,GA,PU,30000,F23Q10004615,P,360,2,"GUARANTEED RATE, INC.","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
297,758,202303,N,205302,16984.0,30,1,P,95,50,219000,95,6.0,R,N,FRM,IL,SF,60600,F23Q10004650,P,360,1,"GUARANTEED RATE, INC.","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
298,729,202303,Y,205302,42644.0,30,1,P,95,48,402000,95,6.35,R,N,FRM,WA,SF,98200,F23Q10004652,P,360,1,"GUARANTEED RATE, INC.","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
299,788,202303,N,205302,,30,1,P,95,24,82000,95,6.875,R,N,FRM,IL,SF,61000,F23Q10004659,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
300,768,202303,Y,205302,41740.0,30,1,P,95,43,485000,95,6.125,R,N,FRM,CA,CO,92100,F23Q10004661,P,360,2,Other sellers,ARVEST BANK,,,9,,2,N,N
301,741,202303,N,205302,36740.0,0,1,P,52,26,337000,52,6.5,R,N,FRM,FL,PU,34700,F23Q10004682,P,360,2,Other sellers,ARVEST BANK,,,9,,2,N,7
302,802,202303,N,205302,49660.0,0,1,I,75,21,68000,75,6.875,R,N,FRM,OH,SF,44400,F23Q10004698,P,360,2,"CROSSCOUNTRY MORTGAGE, LLC",Other servicers,,,9,,2,N,7
303,723,202303,N,205302,35614.0,12,2,P,85,44,829000,85,6.625,R,N,FRM,NY,SF,11300,F23Q10004717,P,360,3,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
304,807,202303,N,203802,24340.0,0,1,P,34,39,95000,34,6.25,R,N,FRM,MI,SF,48800,F23Q10004723,N,180,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N,7
305,762,202303,N,205302,40140.0,0,1,I,75,40,221000,75,6.875,R,N,FRM,CA,CO,92200,F23Q10004794,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
306,655,202303,Y,205302,20100.0,12,1,P,85,50,383000,85,6.625,R,N,FRM,DE,PU,19900,F23Q10004800,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
307,812,202303,N,205302,,30,1,P,95,47,371000,95,6.99,R,N,FRM,OK,PU,74400,F23Q10004807,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
308,695,202303,Y,205302,,30,1,P,95,24,117000,95,6.375,R,N,FRM,MI,SF,49000,F23Q10004849,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
309,685,202303,N,205302,12060.0,30,1,P,95,40,188000,95,6.625,R,N,FRM,GA,SF,30000,F23Q10004858,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
310,801,202303,Y,205302,,25,1,P,97,37,197000,97,6.25,R,N,FRM,KS,SF,67800,F23Q10004870,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
311,745,202303,N,205302,31540.0,0,2,I,75,49,150000,75,7.625,R,N,FRM,WI,SF,53900,F23Q10004877,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
312,686,202303,Y,205302,49180.0,25,1,P,89,44,200000,89,6.5,R,N,FRM,NC,PU,27100,F23Q10004887,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
313,765,202303,Y,205302,,30,1,P,95,27,186000,95,6.99,R,N,FRM,NM,MH,87000,F23Q10004888,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
314,663,202303,Y,205302,,12,1,P,83,40,75000,83,6.375,R,N,FRM,IA,SF,50100,F23Q10004890,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
315,661,202303,Y,205302,38060.0,0,1,P,69,50,500000,69,5.99,R,N,FRM,AZ,PU,85200,F23Q10004920,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
316,808,202303,Y,205302,15980.0,0,1,P,80,47,420000,80,7.1,R,N,FRM,FL,SF,33900,F23Q10004922,P,360,2,Other sellers,Other servicers,,,9,,1,N,7
317,787,202303,Y,205302,47894.0,30,1,P,95,36,399000,95,6.25,B,N,FRM,VA,CO,20100,F23Q10004944,P,360,1,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,N
318,686,202303,N,205302,28140.0,12,1,P,85,46,196000,85,6.625,R,N,FRM,MO,SF,64000,F23Q10004948,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
319,776,202303,Y,205302,,30,1,P,95,45,227000,95,6.25,R,N,FRM,OH,SF,44800,F23Q10004959,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
320,669,202303,Y,205302,,0,1,P,65,45,226000,65,6.625,B,N,FRM,NC,SF,28600,F23Q10004969,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
321,750,202303,N,205302,18140.0,0,1,P,80,44,182000,80,6.5,R,N,FRM,OH,SF,43000,F23Q10004971,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
322,768,202303,Y,205302,16860.0,30,1,P,95,50,261000,95,6.75,R,N,FRM,GA,SF,30700,F23Q10004990,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
323,693,202303,N,205302,19740.0,0,1,P,77,31,479000,77,6.5,R,N,FRM,CO,PU,80100,F23Q10005024,P,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
324,655,202303,N,205302,47664.0,30,1,P,95,37,181000,95,7.125,R,N,FRM,MI,SF,48200,F23Q10005037,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
325,718,202304,Y,205303,45820.0,30,1,P,95,33,181000,95,6.125,R,N,FRM,KS,SF,66600,F23Q10005039,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
326,773,202303,Y,205302,15764.0,30,1,P,95,37,504000,95,5.99,C,N,FRM,MA,SF,1800,F23Q10005133,P,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,N
327,762,202303,N,203802,,0,1,P,80,40,520000,80,5.75,R,N,FRM,TN,PU,37300,F23Q10005148,P,180,2,PHH MORTGAGE CORPORATION,PHH MORTGAGE CORPORATION,,,9,,2,N,7
328,738,202303,N,205302,,0,1,P,77,42,120000,77,5.625,R,N,FRM,IL,SF,61000,F23Q10005229,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
329,724,202303,Y,205302,29820.0,25,1,P,90,45,270000,90,6.5,R,N,FRM,NV,SF,89100,F23Q10005241,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
330,677,202303,N,205302,,0,1,P,80,33,128000,80,7.125,R,N,FRM,IN,SF,46700,F23Q10005259,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
331,783,202303,N,205302,25620.0,30,1,P,95,40,323000,95,5.875,B,N,FRM,MS,SF,39400,F23Q10005312,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
332,762,202303,N,205302,44300.0,25,1,P,90,38,360000,90,5.999,B,N,FRM,PA,CO,16800,F23Q10005322,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,N
333,741,202303,N,205302,46700.0,0,1,P,75,41,536000,75,5.875,B,N,FRM,CA,SF,95600,F23Q10005337,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
334,734,202303,Y,205302,49340.0,0,1,P,80,36,302000,80,5.999,B,N,FRM,MA,SF,1500,F23Q10005349,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
335,683,202303,Y,205302,37100.0,30,1,P,95,41,608000,95,5.999,C,N,FRM,CA,SF,93000,F23Q10005400,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
336,723,202303,Y,205302,40900.0,30,1,P,95,42,534000,95,6.25,B,N,FRM,CA,SF,95800,F23Q10005486,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,N
337,787,202303,N,205302,31084.0,0,1,P,80,49,520000,80,6.5,C,N,FRM,CA,SF,91700,F23Q10005487,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
338,766,202303,N,205302,42100.0,30,1,P,95,44,917000,95,6.299,C,N,FRM,CA,SF,95000,F23Q10005496,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,Y,,9,,2,N,N
339,703,202303,Y,205302,35084.0,25,1,P,90,48,235000,90,7.125,R,N,FRM,NJ,CO,7400,F23Q10005550,P,360,1,Other sellers,"ROCKET MORTGAGE, LLC",,,9,,2,N,N
340,746,202303,N,205302,,0,1,P,51,47,110000,51,6.875,R,N,FRM,TX,SF,75900,F23Q10005556,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
341,740,202303,Y,205302,21780.0,25,1,P,90,43,238000,90,6.25,R,N,FRM,IN,SF,47600,F23Q10005583,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
342,785,202303,Y,205302,,30,1,P,95,45,351000,95,6.725,B,N,FRM,OR,MH,97300,F23Q10005612,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
343,772,202303,Y,205302,41100.0,35,1,P,97,46,314000,97,6.75,B,N,FRM,UT,PU,84700,F23Q10005613,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
344,705,202303,Y,205302,41620.0,30,1,P,95,39,367000,95,6.832,B,N,FRM,UT,PU,84000,F23Q10005614,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
345,796,202303,N,205302,11244.0,0,1,P,18,25,200000,18,5.977,B,N,FRM,CA,CO,92600,F23Q10005666,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
346,713,202303,N,205302,19740.0,0,1,P,51,40,194000,51,6.25,C,N,FRM,CO,SF,80000,F23Q10005677,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC",NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,H,,1,N,7
347,785,202303,N,205302,28140.0,0,1,P,77,45,360000,77,6.99,R,N,FRM,MO,PU,64000,F23Q10005695,C,360,2,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,Other servicers,,,9,,2,N,7
348,771,202303,Y,205302,26620.0,12,1,P,85,17,191000,85,5.999,B,N,FRM,AL,PU,35600,F23Q10005698,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
349,711,202303,N,205302,19660.0,0,1,P,80,36,473000,80,6.625,C,N,FRM,FL,PU,32100,F23Q10005722,P,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
350,771,202303,N,205302,23104.0,0,1,P,57,50,220000,57,5.99,R,N,FRM,TX,SF,76000,F23Q10005738,C,360,1,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
351,734,202303,N,205302,29460.0,25,1,S,90,43,330000,90,7.625,B,N,FRM,FL,PU,33800,F23Q10005757,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
352,732,202303,N,205302,19124.0,0,1,P,61,49,377000,61,5.875,B,N,FRM,TX,PU,75000,F23Q10005762,P,360,4,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
353,753,202303,N,205302,,25,1,P,86,46,300000,86,6.125,R,N,FRM,ID,SF,83600,F23Q10005776,P,360,3,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
354,767,202303,N,205302,,30,1,P,95,44,171000,95,6.625,B,N,FRM,KS,SF,66000,F23Q10005834,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
355,749,202303,Y,205302,15380.0,30,1,P,95,49,216000,95,6.5,R,N,FRM,NY,SF,14000,F23Q10005881,P,360,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
356,724,202303,N,205302,17980.0,0,1,I,80,44,112000,80,7.125,R,N,FRM,GA,SF,31900,F23Q10005882,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
357,718,202303,Y,205302,44700.0,25,1,P,90,36,540000,90,5.125,R,N,FRM,CA,PU,95300,F23Q10005894,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
358,729,202303,Y,205302,40900.0,0,1,P,80,48,517000,80,5.0,R,N,FRM,CA,PU,95800,F23Q10005896,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
359,792,202303,N,205302,37340.0,0,1,P,75,33,469000,75,6.625,R,N,FRM,FL,PU,32900,F23Q10005899,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
360,735,202303,N,205302,,0,1,S,75,38,171000,75,5.625,R,N,FRM,UT,CO,84500,F23Q10005904,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
361,800,202303,Y,205302,,25,1,P,97,34,222000,97,5.25,R,N,FRM,UT,CO,84500,F23Q10005906,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
362,736,202303,N,205302,19740.0,12,1,P,82,44,726000,82,4.99,R,N,FRM,CO,PU,80000,F23Q10005930,P,360,3,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,Y
363,736,202303,N,205302,19740.0,25,1,P,90,31,657000,90,4.99,R,N,FRM,CO,PU,80400,F23Q10005935,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
364,772,202303,Y,205302,33460.0,25,1,P,90,40,552000,90,6.125,R,N,FRM,MN,PU,55300,F23Q10005942,P,360,2,Other sellers,FREEDOM MORTGAGE CORPORATION,,,9,,2,N,N
365,742,202303,N,205302,,0,1,P,80,43,60000,80,7.0,R,N,FRM,CO,SF,81000,F23Q10005951,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
366,769,202303,Y,205302,12060.0,30,1,P,95,24,414000,95,5.625,R,N,FRM,GA,PU,30200,F23Q10005957,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
367,732,202303,N,205302,35840.0,30,1,P,95,44,573000,95,6.125,R,N,FRM,FL,PU,34200,F23Q10005960,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
368,701,202303,Y,205302,12060.0,25,1,P,97,45,256000,97,7.125,R,N,FRM,GA,SF,30000,F23Q10005968,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,H,,2,N,N
369,767,202303,Y,205302,12060.0,25,1,P,97,45,315000,97,6.99,R,N,FRM,GA,SF,30100,F23Q10005975,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,H,,2,N,N
370,790,202303,N,203802,,0,1,P,41,32,80000,41,5.99,R,N,FRM,NE,SF,69100,F23Q10006044,C,180,2,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
371,697,202303,Y,205302,18140.0,30,1,P,95,34,318000,95,6.5,R,N,FRM,OH,SF,43000,F23Q10006059,P,360,2,Other sellers,ARVEST BANK,,,9,,2,N,N
372,737,202303,Y,205302,,35,1,P,97,45,213000,97,6.85,R,N,FRM,GA,SF,31700,F23Q10006066,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
373,779,202303,Y,205302,15380.0,0,1,P,80,24,324000,80,6.5,R,N,FRM,NY,SF,14000,F23Q10006078,P,360,2,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N,7
374,711,202303,N,203802,37340.0,0,1,P,80,45,256000,80,5.875,R,N,FRM,FL,SF,32900,F23Q10006095,C,180,1,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
375,720,202303,N,205302,,30,1,P,95,46,71000,95,6.875,R,N,FRM,IL,SF,61400,F23Q10006097,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
376,759,202303,Y,205302,38300.0,30,1,P,94,37,280000,94,6.875,R,N,FRM,PA,SF,15600,F23Q10006099,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
377,692,202303,N,205302,26420.0,30,1,P,95,44,337000,95,6.375,C,N,FRM,TX,PU,77500,F23Q10006118,P,360,1,Other sellers,"ROCKET MORTGAGE, LLC",,,9,,2,N,N
378,724,202303,N,205302,45820.0,30,1,P,95,26,147000,95,6.0,R,N,FRM,KS,SF,66500,F23Q10006119,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
379,794,202303,N,205302,45300.0,0,1,P,54,47,680000,54,6.25,R,N,FRM,FL,SF,33700,F23Q10006134,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
380,740,202303,N,205302,,0,1,P,80,42,160000,80,6.5,R,N,FRM,TN,SF,38400,F23Q10006135,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
381,748,202303,Y,205302,10900.0,0,1,P,56,49,168000,56,6.5,R,N,FRM,PA,SF,18000,F23Q10006142,P,360,1,"CROSSCOUNTRY MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
382,774,202303,Y,205302,29540.0,25,1,P,90,29,158000,90,6.99,R,N,FRM,PA,SF,17000,F23Q10006146,P,360,1,"CROSSCOUNTRY MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
383,759,202303,N,205302,15804.0,0,1,P,75,48,187000,75,6.375,R,N,FRM,NJ,SF,8000,F23Q10006149,P,360,2,"CROSSCOUNTRY MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
384,753,202303,Y,205302,21780.0,25,1,P,90,33,81000,90,6.5,R,N,FRM,KY,SF,42400,F23Q10006172,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
385,734,202303,Y,205302,15540.0,0,1,P,77,43,350000,77,6.0,R,N,FRM,VT,SF,5400,F23Q10006186,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
386,681,202303,N,205302,45300.0,25,1,P,90,45,445000,90,6.49,R,N,FRM,FL,PU,33500,F23Q10006191,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
387,775,202303,N,205302,28940.0,30,1,P,95,48,299000,95,6.125,C,N,FRM,TN,SF,37800,F23Q10006205,P,360,1,Other sellers,"ROCKET MORTGAGE, LLC",,,9,,2,N,N
388,767,202303,N,205302,36740.0,0,1,S,69,38,434000,69,6.625,R,N,FRM,FL,PU,32800,F23Q10006209,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
389,729,202303,N,205302,24340.0,0,1,P,75,16,173000,75,6.5,R,N,FRM,MI,CO,49300,F23Q10006223,P,360,2,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,7
390,807,202303,N,205302,34980.0,0,1,P,68,19,391000,68,6.125,C,N,FRM,TN,CO,37200,F23Q10006228,P,360,1,Other sellers,"ROCKET MORTGAGE, LLC",,,9,,2,N,7
391,780,202303,N,203802,25540.0,0,1,P,80,45,256000,80,6.125,R,N,FRM,CT,SF,6200,F23Q10006232,P,180,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
392,781,202303,N,205302,12420.0,0,1,P,80,45,700000,57,5.25,R,N,FRM,TX,PU,78600,F23Q10006233,P,360,2,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,7
393,692,202303,N,205302,10420.0,0,1,P,60,39,174000,60,6.95,R,N,FRM,OH,SF,44200,F23Q10006253,P,360,1,"CROSSCOUNTRY MORTGAGE, LLC",Other servicers,,,H,,1,N,7
394,804,202303,N,205302,17140.0,30,1,P,95,35,169000,95,6.875,R,N,FRM,KY,CO,41000,F23Q10006254,P,360,1,"CROSSCOUNTRY MORTGAGE, LLC",Other servicers,,,9,,2,N,N
395,763,202303,Y,205302,19660.0,0,1,P,77,48,303000,77,5.875,R,N,FRM,FL,SF,32100,F23Q10006255,P,360,2,"CROSSCOUNTRY MORTGAGE, LLC",Other servicers,,,9,,2,N,7
396,687,202303,Y,205302,25420.0,25,1,P,90,50,233000,90,6.625,R,N,FRM,PA,SF,17100,F23Q10006264,P,360,3,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
397,775,202303,Y,205302,36780.0,25,1,P,94,50,145000,94,6.125,R,N,FRM,WI,SF,54900,F23Q10006352,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
398,701,202305,N,205304,41180.0,0,1,P,78,50,388000,78,6.875,R,N,FRM,MO,SF,63300,F23Q10006358,P,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
399,798,202303,N,205302,37900.0,0,1,P,80,18,64000,80,6.75,R,N,FRM,IL,SF,61300,F23Q10006363,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
400,712,202303,Y,205302,16984.0,25,1,P,90,26,90000,90,7.625,R,N,FRM,IL,CO,60600,F23Q10006371,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
401,805,202303,Y,205302,40140.0,12,1,P,88,50,354000,88,5.5,R,N,FRM,CA,SF,92400,F23Q10006376,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N,N
402,780,202303,Y,205302,19804.0,6,1,P,83,40,141000,83,6.125,R,N,FRM,MI,SF,48100,F23Q10006396,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N,Y
403,720,202303,Y,205302,22744.0,30,1,P,95,40,527000,95,6.375,R,N,FRM,FL,SF,33300,F23Q10006404,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
404,710,202303,Y,205302,46700.0,25,1,P,90,44,338000,90,6.49,R,N,FRM,CA,SF,94500,F23Q10006411,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
405,762,202303,Y,205302,36420.0,35,1,P,97,43,219000,97,6.625,R,N,FRM,OK,PU,73100,F23Q10006414,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,N
406,781,202303,Y,205302,16984.0,25,1,P,90,48,126000,90,6.625,R,N,FRM,IL,CO,60300,F23Q10006443,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,N
407,813,202303,N,204302,41180.0,0,1,P,46,21,145000,46,5.875,R,N,FRM,MO,SF,63100,F23Q10006446,C,240,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
408,675,202303,N,205302,40140.0,0,1,P,60,39,356000,60,6.875,R,N,FRM,CA,SF,92300,F23Q10006451,N,360,1,Other sellers,Other servicers,,,9,,2,N,7
409,684,202303,Y,205302,,0,1,P,80,29,92000,80,5.875,R,N,FRM,OH,SF,45800,F23Q10006454,P,360,1,Other sellers,Other servicers,,,H,,2,N,7
410,707,202303,Y,205302,19740.0,0,1,P,80,35,198000,80,6.125,R,N,FRM,CO,CO,80200,F23Q10006479,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N,7
411,744,202303,N,205302,45220.0,30,1,P,95,32,318000,95,6.25,C,N,FRM,FL,PU,32300,F23Q10006491,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
412,750,202303,N,205302,41420.0,0,1,P,80,33,316000,80,6.375,R,N,FRM,OR,SF,97300,F23Q10006503,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
413,730,202303,Y,205302,41180.0,25,1,P,97,45,206000,97,6.5,R,N,FRM,MO,SF,63100,F23Q10006512,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
